#  X_0 = X0p688408; Z_0 = Z0p031592
#  Age    M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    J-K    H-K    V-K
#  age(Gyr)= 0.001
   0.0010 0.1584680  3.4725 -1.0022  3.4801 10.914  1.247  1.582  1.589  3.344  0.924  0.234  6.561
   0.0010 0.1667465  3.4756 -0.9712  3.4837 10.721  1.247  1.659  1.533  3.263  0.948  0.232  6.454
   0.0010 0.1754463  3.4788 -0.9403  3.4876 10.572  1.261  1.700  1.491  3.201  0.958  0.226  6.385
   0.0010 0.1844457  3.4820 -0.9101  3.4919 10.478  1.290  1.694  1.467  3.163  0.952  0.216  6.366
   0.0010 0.1930456  3.4853 -0.8811  3.4959 10.400  1.327  1.680  1.445  3.128  0.940  0.205  6.360
   0.0010 0.2023177  3.4886 -0.8525  3.5011 10.337  1.373  1.656  1.427  3.097  0.924  0.191  6.367
   0.0010 0.2111527  3.4920 -0.8246  3.5053 10.290  1.426  1.621  1.412  3.071  0.904  0.177  6.388
   0.0010 0.2202348  3.4955 -0.7972  3.5100 10.259  1.486  1.576  1.401  3.049  0.879  0.160  6.422
   0.0010 0.2298004  3.4989 -0.7692  3.5140 10.241  1.553  1.521  1.393  3.032  0.850  0.143  6.471
   0.0010 0.2394849  3.5024 -0.7424  3.5191 10.242  1.629  1.455  1.390  3.020  0.815  0.123  6.534
   0.0010 0.2495874  3.5058 -0.7150  3.5234 10.230  1.690  1.389  1.386  3.010  0.786  0.106  6.586
   0.0010 0.2597588  3.5093 -0.6881  3.5278 10.106  1.649  1.366  1.370  2.987  0.799  0.104  6.525
   0.0010 0.2704582  3.5128 -0.6612  3.5324  9.965  1.588  1.345  1.354  2.965  0.819  0.104  6.446
   0.0010 0.2818576  3.5162 -0.6332  3.5359  9.806  1.509  1.328  1.337  2.944  0.846  0.107  6.352
   0.0010 0.2933410  3.5196 -0.6060  3.5399  9.630  1.409  1.314  1.320  2.923  0.881  0.113  6.238
   0.0010 0.3054644  3.5231 -0.5785  3.5437  9.437  1.290  1.303  1.303  2.904  0.923  0.122  6.107
   0.0010 0.3181827  3.5265 -0.5511  3.5478  9.257  1.177  1.286  1.280  2.880  0.960  0.133  5.990
   0.0010 0.3311795  3.5299 -0.5235  3.5513  9.118  1.094  1.253  1.247  2.848  0.984  0.149  5.915
   0.0010 0.3450816  3.5335 -0.4973  3.5570  8.983  1.010  1.216  1.207  2.809  1.007  0.167  5.841
   0.0010 0.3593394  3.5369 -0.4697  3.5607  8.852  0.928  1.177  1.164  2.768  1.028  0.189  5.775
   0.0010 0.3741835  3.5403 -0.4424  3.5648  8.724  0.845  1.133  1.115  2.722  1.049  0.215  5.710
   0.0010 0.3892866  3.5438 -0.4157  3.5693  8.599  0.761  1.086  1.059  2.671  1.069  0.244  5.647
   0.0010 0.4048700  3.5473 -0.3891  3.5738  8.435  0.734  1.072  1.024  2.609  1.079  0.255  5.538
