#  X_0 = X0p717092; Z_0 = Z0p032908
#  Age    M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    J-K    H-K    V-K
#  age(Gyr)= 0.001
   0.0010 0.1578792  3.4678 -1.0061  3.4634 10.638  1.221  1.713  1.467  3.406  1.027  0.309  6.268
   0.0010 0.1664418  3.4705 -0.9753  3.4665 10.469  1.212  1.701  1.437  3.345  1.021  0.304  6.165
   0.0010 0.1745923  3.4733 -0.9456  3.4690 10.298  1.204  1.690  1.406  3.280  1.016  0.298  6.058
   0.0010 0.1829702  3.4762 -0.9165  3.4719 10.127  1.199  1.678  1.374  3.212  1.011  0.292  5.947
   0.0010 0.1917787  3.4792 -0.8879  3.4755  9.955  1.196  1.668  1.343  3.141  1.006  0.286  5.836
   0.0010 0.2005133  3.4823 -0.8602  3.4794  9.784  1.196  1.657  1.312  3.068  1.001  0.280  5.722
   0.0010 0.2098649  3.4853 -0.8329  3.4841  9.613  1.199  1.647  1.282  2.994  0.997  0.273  5.608
   0.0010 0.2190753  3.4885 -0.8064  3.4890  9.446  1.207  1.638  1.253  2.919  0.994  0.267  5.494
   0.0010 0.2282889  3.4916 -0.7797  3.4926  9.282  1.218  1.629  1.227  2.848  0.991  0.261  5.385
   0.0010 0.2375407  3.4948 -0.7538  3.4968  9.123  1.231  1.622  1.203  2.778  0.988  0.255  5.282
   0.0010 0.2468152  3.4980 -0.7284  3.5009  8.970  1.246  1.615  1.180  2.714  0.986  0.250  5.185
   0.0010 0.2562817  3.5013 -0.7031  3.5050  8.825  1.261  1.609  1.161  2.656  0.983  0.245  5.099
   0.0010 0.2664515  3.5045 -0.6778  3.5095  8.689  1.276  1.604  1.145  2.607  0.981  0.241  5.024
   0.0010 0.2769733  3.5078 -0.6522  3.5137  8.564  1.289  1.599  1.129  2.558  0.978  0.238  4.952
   0.0010 0.2876112  3.5110 -0.6268  3.5175  8.450  1.301  1.594  1.114  2.505  0.977  0.234  4.877
   0.0010 0.2984706  3.5142 -0.6016  3.5214  8.339  1.314  1.590  1.102  2.466  0.975  0.230  4.819
   0.0010 0.3100308  3.5175 -0.5758  3.5250  8.227  1.327  1.588  1.092  2.435  0.973  0.227  4.774
   0.0010 0.3222367  3.5206 -0.5498  3.5285  8.112  1.343  1.584  1.082  2.397  0.971  0.225  4.716
   0.0010 0.3342721  3.5238 -0.5233  3.5305  7.995  1.362  1.579  1.070  2.357  0.969  0.222  4.655
   0.0010 0.3475942  3.5270 -0.4984  3.5357  7.882  1.383  1.574  1.059  2.317  0.966  0.218  4.596
   0.0010 0.3611279  3.5303 -0.4728  3.5395  7.766  1.403  1.570  1.047  2.277  0.963  0.214  4.535
   0.0010 0.3749650  3.5335 -0.4473  3.5433  7.647  1.422  1.566  1.036  2.237  0.961  0.211  4.472
   0.0010 0.3890398  3.5368 -0.4225  3.5476  7.531  1.442  1.560  1.024  2.195  0.958  0.207  4.409
   0.0010 0.4041235  3.5400 -0.3974  3.5521  7.415  1.462  1.554  1.012  2.154  0.955  0.204  4.346
   0.0010 0.4196329  3.5433 -0.3722  3.5563  7.297  1.480  1.548  1.001  2.113  0.950  0.200  4.282
   0.0010 0.4354440  3.5466 -0.3473  3.5605  7.180  1.498  1.542  0.989  2.073  0.946  0.197  4.218
   0.0010 0.4519484  3.5498 -0.3223  3.5647  7.065  1.513  1.536  0.978  2.034  0.943  0.194  4.157
   0.0010 0.4679174  3.5531 -0.2976  3.5683  6.959  1.527  1.530  0.968  2.000  0.939  0.190  4.104
   0.0010 0.4846809  3.5565 -0.2734  3.5727  6.857  1.538  1.524  0.958  1.969  0.936  0.187  4.054
   0.0010 0.5022166  3.5598 -0.2488  3.5767  6.755  1.548  1.519  0.950  1.939  0.932  0.184  4.007
   0.0010 0.5199017  3.5631 -0.2246  3.5809  6.655  1.556  1.513  0.940  1.908  0.929  0.182  3.958
   0.0010 0.5382165  3.5664 -0.2006  3.5853  6.551  1.564  1.506  0.930  1.876  0.924  0.179  3.906
   0.0010 0.5565023  3.5698 -0.1766  3.5892  6.445  1.571  1.499  0.918  1.841  0.920  0.176  3.850
   0.0010 0.5748652  3.5731 -0.1528  3.5930  6.337  1.578  1.492  0.905  1.804  0.914  0.172  3.790
   0.0010 0.5946396  3.5765 -0.1294  3.5977  6.227  1.582  1.483  0.891  1.765  0.907  0.168  3.726
   0.0010 0.6130114  3.5799 -0.1058  3.6008  6.116  1.584  1.473  0.876  1.727  0.900  0.165  3.662
   0.0010 0.6388855  3.5828 -0.0773  3.6020  6.001  1.584  1.464  0.863  1.694  0.894  0.161  3.608
   0.0010 0.6595969  3.5862 -0.0532  3.6052  5.896  1.581  1.454  0.849  1.659  0.887  0.158  3.550
   0.0010 0.6806512  3.5895 -0.0297  3.6088  5.797  1.577  1.443  0.836  1.627  0.879  0.155  3.494
   0.0010 0.7032480  3.5928 -0.0051  3.6115  5.704  1.572  1.433  0.824  1.597  0.872  0.153  3.444
   0.0010 0.7254811  3.5962  0.0185  3.6150  5.624  1.565  1.423  0.813  1.571  0.865  0.150  3.397
   0.0010 0.7486443  3.5996  0.0422  3.6183  5.549  1.556  1.413  0.803  1.546  0.858  0.147  3.354
   0.0010 0.7724069  3.6029  0.0662  3.6213  5.478  1.548  1.403  0.792  1.521  0.852  0.145  3.310
   0.0010 0.7971820  3.6063  0.0898  3.6249  5.409  1.538  1.393  0.782  1.498  0.845  0.143  3.269
   0.0010 0.8225693  3.6096  0.1143  3.6272  5.337  1.527  1.383  0.773  1.476  0.839  0.141  3.230
   0.0010 0.8493059  3.6129  0.1386  3.6301  5.262  1.515  1.374  0.764  1.456  0.832  0.139  3.194
   0.0010 0.8782737  3.6161  0.1637  3.6325  5.184  1.504  1.365  0.756  1.437  0.826  0.138  3.160
   0.0010 0.8893386  3.6200  0.1772  3.6400  5.128  1.490  1.354  0.746  1.416  0.820  0.135  3.121
   0.0010 0.8996302  3.6238  0.1930  3.6443  5.063  1.478  1.343  0.737  1.396  0.814  0.133  3.085
   0.0010 0.9272645  3.6270  0.2189  3.6443  4.975  1.466  1.333  0.729  1.379  0.808  0.131  3.053
   0.0010 0.9676632  3.6300  0.2467  3.6472  4.883  1.453  1.324  0.721  1.362  0.802  0.130  3.022
   0.0010 1.0048781  3.6332  0.2736  3.6492  4.792  1.439  1.313  0.712  1.343  0.795  0.128  2.987
   0.0010 1.0435783  3.6362  0.3008  3.6506  4.699  1.423  1.302  0.704  1.325  0.788  0.127  2.952
   0.0010 1.0842806  3.6393  0.3283  3.6521  4.605  1.405  1.289  0.694  1.305  0.780  0.125  2.914
   0.0010 1.1273482  3.6423  0.3561  3.6533  4.511  1.386  1.276  0.684  1.284  0.772  0.123  2.875
   0.0010 1.1724750  3.6453  0.3842  3.6543  4.416  1.366  1.263  0.675  1.264  0.764  0.121  2.836
   0.0010 1.2193681  3.6483  0.4125  3.6549  4.321  1.345  1.249  0.665  1.244  0.756  0.119  2.796
   0.0010 1.2695934  3.6513  0.4406  3.6564  4.227  1.322  1.235  0.655  1.224  0.747  0.117  2.757
   0.0010 1.3224211  3.6543  0.4696  3.6569  4.132  1.299  1.222  0.645  1.205  0.739  0.115  2.719
   0.0010 1.3711082  3.6573  0.4969  3.6575  4.041  1.275  1.208  0.636  1.185  0.729  0.114  2.680
   0.0010 1.4224790  3.6606  0.5212  3.6624  3.957  1.247  1.192  0.625  1.165  0.720  0.112  2.638
   0.0010 1.4839856  3.6636  0.5499  3.6638  3.865  1.223  1.178  0.616  1.147  0.711  0.110  2.602
