#  X_0 = X0p688408; Z_0 = Z0p031592
#  Age    M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    J-K    H-K    V-K
#  age(Gyr)= 0.001
   0.0010 0.1584680  3.4725 -1.0022  3.4801 10.464  1.206  1.693  1.413  3.296  1.016  0.300  6.083
   0.0010 0.1667465  3.4756 -0.9712  3.4837 10.280  1.199  1.681  1.380  3.224  1.011  0.293  5.965
   0.0010 0.1754463  3.4788 -0.9403  3.4876 10.097  1.196  1.669  1.346  3.149  1.006  0.287  5.846
   0.0010 0.1844457  3.4820 -0.9101  3.4919  9.914  1.195  1.658  1.314  3.072  1.001  0.280  5.726
   0.0010 0.1930456  3.4853 -0.8811  3.4959  9.732  1.199  1.647  1.282  2.993  0.996  0.273  5.604
   0.0010 0.2023177  3.4886 -0.8525  3.5011  9.553  1.207  1.637  1.251  2.914  0.993  0.267  5.484
   0.0010 0.2111527  3.4920 -0.8246  3.5053  9.378  1.219  1.628  1.223  2.837  0.990  0.260  5.367
   0.0010 0.2202348  3.4955 -0.7972  3.5100  9.210  1.233  1.620  1.197  2.764  0.987  0.254  5.258
   0.0010 0.2298004  3.4989 -0.7692  3.5140  9.049  1.249  1.613  1.175  2.698  0.984  0.249  5.160
   0.0010 0.2394849  3.5024 -0.7424  3.5191  8.898  1.265  1.607  1.155  2.639  0.982  0.244  5.071
   0.0010 0.2495874  3.5058 -0.7150  3.5234  8.756  1.280  1.602  1.139  2.590  0.979  0.240  4.997
   0.0010 0.2597588  3.5093 -0.6881  3.5278  8.629  1.293  1.596  1.121  2.532  0.977  0.236  4.913
   0.0010 0.2704582  3.5128 -0.6612  3.5324  8.509  1.306  1.591  1.106  2.482  0.975  0.232  4.842
   0.0010 0.2818576  3.5162 -0.6332  3.5359  8.390  1.320  1.589  1.096  2.449  0.973  0.229  4.792
   0.0010 0.2933410  3.5196 -0.6060  3.5399  8.269  1.336  1.585  1.085  2.411  0.971  0.225  4.735
   0.0010 0.3054644  3.5231 -0.5785  3.5437  8.144  1.355  1.580  1.073  2.366  0.969  0.222  4.667
   0.0010 0.3181827  3.5265 -0.5511  3.5478  8.022  1.378  1.575  1.060  2.324  0.966  0.218  4.604
   0.0010 0.3311795  3.5299 -0.5235  3.5513  7.898  1.400  1.570  1.048  2.282  0.963  0.214  4.540
   0.0010 0.3450816  3.5335 -0.4973  3.5570  7.773  1.419  1.565  1.036  2.237  0.960  0.211  4.472
   0.0010 0.3593394  3.5369 -0.4697  3.5607  7.648  1.440  1.560  1.023  2.194  0.957  0.207  4.406
   0.0010 0.3741835  3.5403 -0.4424  3.5648  7.522  1.461  1.554  1.011  2.151  0.954  0.204  4.339
   0.0010 0.3892866  3.5438 -0.4157  3.5693  7.397  1.481  1.547  0.999  2.107  0.949  0.199  4.270
   0.0010 0.4048700  3.5473 -0.3891  3.5738  7.272  1.499  1.540  0.987  2.064  0.945  0.196  4.202
   0.0010 0.4207277  3.5509 -0.3626  3.5780  7.151  1.515  1.533  0.975  2.023  0.941  0.193  4.139
   0.0010 0.4375383  3.5544 -0.3363  3.5828  7.040  1.528  1.527  0.964  1.989  0.938  0.189  4.084
   0.0010 0.4547801  3.5579 -0.3101  3.5876  6.931  1.540  1.521  0.955  1.956  0.934  0.186  4.033
